id,name,salary,department_id
1,Alice Johnson,50000,1
2,Bob Smith,60000,1
3,Charlie Brown,55000,1
4,David Wilson,62000,1
5,Eve Davis,58000,1
6,Frank Miller,54000,1
7,Grace White,57000,1
8,Henry Martin,61000,1
9,Ivy Lee,59000,1
10,Jack Walker,56000,1
11,Laura Scott,45000,2
12,Michael Young,47000,2
13,Natalie Green,46000,2
14,Oscar Adams,48000,2
15,Paula Carter,49000,2
16,Quentin Roberts,44000,2
17,Rachel Nelson,45500,2
18,Samuel Perez,46500,2
19,Tina Edwards,47500,2
20,Ulysses Turner,48500,2
21,Victor Harris,65000,3
22,Walter Collins,68000,3
23,Xavier Stewart,67000,3
24,Yvonne Barnes,69000,3
25,Zachary Jenkins,66000,3
26,Amber Cooper,64000,3
27,Bradley Ross,67500,3
28,Catherine Price,68500,3
29,Derek Bailey,65500,3
30,Elena Morris,69500,3
31,Felix Reed,52000,4
32,Gloria Cook,53000,4
33,Howard Bell,51000,4
34,Isabella Murphy,53500,4
35,Jacob Sanders,54500,4
36,Kylie Foster,52500,4
37,Liam Richardson,51500,4
38,Mia Cooper,55000,4
39,Noah Brooks,50500,4
40,Olivia Ramirez,54000,4
41,Peter Bennett,58000,5
42,Quincy Ward,60000,5
43,Rebecca Torres,59000,5
44,Steven Jenkins,61000,5
45,Tiffany Sanders,57000,5
46,Umar Powell,59500,5
47,Vanessa Foster,60500,5
48,William Stewart,57500,5
49,Xander Nelson,62000,5
50,Yasmine Turner,58500,5
51,Eve Walker,50000,1
52,Employee 1,76562,2
53,Employee 2,78895,2
54,Employee 3,47977,5
55,Employee 4,25079,4
56,Employee 5,97817,1
57,Employee 6,40401,2
58,Employee 7,87663,5
59,Employee 8,45660,1
60,Employee 9,84288,1
61,Employee 10,54685,2
62,Employee 11,91900,4
63,Employee 12,63877,5
64,Employee 13,15654,4
65,Employee 14,30434,1
66,Employee 15,64376,1
67,Employee 16,55640,2
68,Employee 17,65215,2
69,Employee 18,59220,1
70,Employee 19,77248,5
71,Employee 20,74862,4
72,Employee 21,39218,5
73,Employee 22,97357,5
74,Employee 23,78793,2
75,Employee 24,14097,1
76,Employee 25,61862,4
77,Employee 26,92200,1
78,Employee 27,90120,3
79,Employee 28,83076,4
80,Employee 29,12403,3
81,Employee 30,58323,2
82,Employee 31,84416,5
83,Employee 32,98516,2
84,Employee 33,98125,4
85,Employee 34,61259,2
86,Employee 35,73521,4
87,Employee 36,88823,2
88,Employee 37,27251,3
89,Employee 38,47450,3
90,Employee 39,94528,4
91,Employee 40,49994,5
92,Employee 41,79227,1
93,Employee 42,53666,3
94,Employee 43,64149,3
95,Employee 44,23690,4
96,Employee 45,38941,4
97,Employee 46,68272,2
98,Employee 47,59613,3
99,Employee 48,42253,5
100,Employee 49,57220,4
101,Employee 50,78891,3
102,Employee 51,35267,3
103,Employee 52,42623,1
104,Employee 53,58895,1
105,Employee 54,30219,5
106,Employee 55,43569,2
107,Employee 56,23221,4
108,Employee 57,36833,3
109,Employee 58,46174,2
110,Employee 59,69869,2
111,Employee 60,52423,3
112,Employee 61,34639,4
113,Employee 62,33287,4
114,Employee 63,54397,2
115,Employee 64,30831,3
116,Employee 65,42749,1
117,Employee 66,52991,1
118,Employee 67,21907,3
119,Employee 68,11165,5
